"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","250","0.60"
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","14","3,120","7.52"
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","1","13","0.03"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","6","1,408","3.39"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","0","1","0.00"
"Fundamental Baptist Fellowship Association","Evangelical Protestant","Baptist Family","1","",""
"Grace Gospel Fellowship","Evangelical Protestant","Independent Fundamentalist Family","1","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","140","0.34"
"Hinduism: Hindu Post Renaissance","Hinduism","Hinduism Family","2","102","0.25"
"Independent Yearly Meetings of Friends","Mainline Protestant","Friends/Brethren Family","2","30","0.07"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","2","175","0.42"
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","13","0.03"
"Jehovah's Witnesses","Jehovah's Witnesses","Adventist Family","7","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","4","",""
"Korean-American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","3","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","3","442","1.06"
"Muslim Estimate","Islam","Islam Family","3","2,518","6.07"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","64","0.15"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","2","116","0.28"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","1","379","0.91"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","2","341","0.82"
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","31","12,026","28.97"
"Orthodox Judaism","Judaism","Judaism Family","1","60","0.14"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","116","0.28"
"Pentecostal Church of God","Evangelical Protestant","Pentecostal Family","11","1,196","2.88"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","9","4,394","10.59"
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","50","0.12"
"Reform Judaism","Judaism","Judaism Family","2","1,002","2.41"
"Reformed Baptist Church","Evangelical Protestant","Baptist Family","1","",""
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","250","0.60"
"Salvation Army","Evangelical Protestant","Holiness Family","2","309","0.74"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","7","1,342","3.23"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","23","3,866","9.31"
"Union of Messianic Jewish Congregations","Other Christians","Other Groups Family","1","",""
"Unitarian Universalist Association","Other Christians","Liberal Family","1","286","0.69"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","1","77","0.19"
"United Methodist Church","Mainline Protestant","Methodist Family","10","1,548","3.73"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","3","",""
"Unity Churches, Association of","Other Christians","Other Groups Family","1","",""
" "," "," ","287.0","205,066.0"," "
